"","Year","Countries","Economic Freedom Summary Index","Rank","Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally","Regulation","GDP per capita","World GDP","USD"
"158",2000,"Australia",8.19,8,6.22,8.87,9.4,8.33,8.12,21669.410913094,3.35712e+13,97.87067
"159",2000,"Austria",7.96,14,4.77,8.76,9.63,9.11,7.54,24564.4582948404,3.35712e+13,97.87067
"160",2000,"Belgium",7.76,19,4.57,7.2,9.62,9.3,8.09,23207.4059110078,3.35712e+13,97.87067
"161",2000,"Brazil",5.98,85,5.98,5.65,6.14,6.67,5.51,3739.11613876518,3.35712e+13,97.87067
"162",2000,"Canada",8.27,7,5.97,8.6,9.53,8.97,8.33,24124.169174631,3.35712e+13,97.87067
"163",2000,"Chile",7.36,36,6.12,5.93,9.3,7.9,7.38,5101.36847857517,3.35712e+13,97.87067
"164",2000,"Colombia",5.67,99,4.64,4.03,6.31,6.98,6.39,2472.19783098297,3.35712e+13,97.87067
"165",2000,"Congo, Dem. R.",4.01,122,7.45,1.5,1.25,4.15,5.71,998.196856210498,3.35712e+13,97.87067
"166",2000,"Denmark",8.06,11,4.23,8.97,9.71,9.4,8.02,30743.5591735847,3.35712e+13,97.87067
"167",2000,"Ecuador",5.86,90,8.93,3.77,4.9,7.39,4.22,1451.2907755099,3.35712e+13,97.87067
"168",2000,"Finland",7.98,13,4.5,9.11,9.55,9.25,7.51,24253.2504245786,3.35712e+13,97.87067
"169",2000,"France",7.47,29,3.56,7.42,9.59,8.99,7.82,22364.0293943406,3.35712e+13,97.87067
"170",2000,"Germany",7.8,17,4.96,8.58,9.55,9.39,6.5,23718.746699471,3.35712e+13,97.87067
"171",2000,"Greece",6.97,49,4.95,5.38,9.32,9.05,6.2,12042.9537310995,3.35712e+13,97.87067
"172",2000,"Guatemala",6.85,58,8.53,3.94,7.64,7.38,6.25,1655.58773023347,3.35712e+13,97.87067
"173",2000,"Hong Kong",8.92,1,9.35,7.31,9.11,9.72,9.08,1088.77986884543,3.35712e+13,97.87067
"174",2000,"Iceland",7.99,12,6.07,8.71,9.18,8.24,7.79,31746.0231444433,3.35712e+13,97.87067
"175",2000,"India",6.22,79,6.83,5.3,6.88,5.51,6.34,438.864630447894,3.35712e+13,97.87067
"176",2000,"Indonesia",5.86,90,7.57,2.84,6.2,7.15,5.51,780.092074398741,3.35712e+13,97.87067
"177",2000,"Iran",5.57,103,4.92,4.85,8,5.73,4.33,NA,3.35712e+13,97.87067
"178",2000,"Ireland",8.08,10,6.13,7.96,9.43,9.18,7.76,26241.5144887017,3.35712e+13,97.87067
"179",2000,"Israel",6.84,59,4.65,6.78,8.09,8.7,6,21042.9816003225,3.35712e+13,97.87067
"180",2000,"Italy",7.59,24,5.62,7.25,9.47,9.01,6.63,20051.2421548342,3.35712e+13,97.87067
"181",2000,"Japan",7.93,16,5.96,7.94,9.65,8.55,7.51,38532.0408752935,3.35712e+13,97.87067
"182",2000,"Kenya",7.07,43,7.09,4.64,8.76,7.06,7.8,403.979713221115,3.35712e+13,97.87067
"183",2000,"Korea, South",6.92,53,6.26,6.54,8.27,7.19,6.33,18389.384328289,3.35712e+13,97.87067
"184",2000,"Luxembourg",8.18,9,4.78,8.62,9.75,9.46,8.31,48735.995492187,3.35712e+13,97.87067
"185",2000,"Malaysia",6.64,67,6.08,4.94,8.15,6.88,7.21,4045.17047135901,3.35712e+13,97.87067
"186",2000,"Mexico",6.6,69,7.14,4.78,6.85,7.47,6.71,6959.38871701488,3.35712e+13,97.87067
"187",2000,"Morocco",5.93,86,6.32,5.72,6.96,4.4,5.52,1332.3823579804,3.35712e+13,97.87067
"188",2000,"Netherlands",7.96,14,3.96,8.72,9.57,9.57,8.06,25921.1279408277,3.35712e+13,97.87067
"189",2000,"New Zealand",8.58,5,6.68,8.99,9.54,9.32,8.36,13640.9888898062,3.35712e+13,97.87067
"190",2000,"Nigeria",5.17,110,6.19,2.8,5.37,4.92,6.27,379.119326364064,3.35712e+13,97.87067
"191",2000,"Norway",7.36,36,3.25,8.7,9.03,8.43,7.33,38146.7153917477,3.35712e+13,97.87067
"192",2000,"Pakistan",5.55,104,7.19,4.44,6.15,2.85,5.86,533.862411433568,3.35712e+13,97.87067
"193",2000,"Peru",7.48,28,8.07,4.59,8.79,8.35,7.41,1996.71968884026,3.35712e+13,97.87067
"194",2000,"Philippines",6.97,49,6.87,4.66,9.23,7.09,7.04,1038.91101755581,3.35712e+13,97.87067
"195",2000,"Portugal",7.46,31,5.51,7.06,9.51,8.95,6.29,11502.3968126428,3.35712e+13,97.87067
"196",2000,"Singapore",8.7,3,7.97,8.58,9.46,9.15,8.34,23792.6070703118,3.35712e+13,97.87067
"197",2000,"South Africa",7.04,46,6.45,6.06,7.85,7.35,7.49,2982.00042596137,3.35712e+13,97.87067
"198",2000,"Spain",7.77,18,6.25,7.2,9.44,8.98,7.07,14676.7060880231,3.35712e+13,97.87067
"199",2000,"Sweden",7.67,21,3.67,8.37,9.84,8.89,7.54,29283.0050461572,3.35712e+13,97.87067
"200",2000,"Switzerland",8.73,2,7.75,8.81,9.7,9.49,7.96,37868.3230595798,3.35712e+13,97.87067
"201",2000,"Syria",4.95,114,3.75,3.74,6.46,5.06,5.77,NA,3.35712e+13,97.87067
"202",2000,"Tanzania",6.11,82,5.77,6.25,7.59,5.24,5.13,306.723827307922,3.35712e+13,97.87067
"203",2000,"Thailand",6.6,69,6.84,6.26,6.61,7.03,6.3,2007.56482637453,3.35712e+13,97.87067
"204",2000,"Tunisia",6.1,83,5.28,5.66,7.05,5.43,6.48,2213.91408810372,3.35712e+13,97.87067
"205",2000,"Turkey",5.84,92,7.08,5.34,3.57,7.55,5.67,4316.55389456022,3.35712e+13,97.87067
"206",2000,"United Kingdom",8.52,6,6.63,8.69,9.31,9.4,8.59,27982.3557635787,3.35712e+13,97.87067
"207",2000,"United States",8.62,4,7.03,9.01,9.78,8.78,8.55,36449.8551155349,3.35712e+13,97.87067
"208",2000,"Venezuela",5.89,88,5.95,4.48,5.56,7.86,5.58,NA,3.35712e+13,97.87067
"209",1995,"Argentina",6.95,37,8.22,5.15,6.57,8.54,6.28,7373.42824568235,3.0848e+13,75.86538
"210",1995,"Australia",7.95,10,5.68,8.96,9.4,8.1,7.63,20319.6306283956,3.0848e+13,75.86538
"211",1995,"Austria",7.15,30,2.82,8.85,9.55,8.84,5.7,30325.8495818396,3.0848e+13,75.86538
"212",1995,"Belgium",7.32,25,4.04,7.52,9.73,9.07,6.22,28565.9191516066,3.0848e+13,75.86538
"213",1995,"Brazil",4.66,103,6.13,5.76,0,6.49,4.94,4740.11981336276,3.0848e+13,75.86538
"214",1995,"Canada",8.08,8,5.8,8.95,9.63,7.88,8.11,20577.4893858895,3.0848e+13,75.86538
"215",1995,"Chile",7.37,22,7.3,6,8.65,7.91,7,5137.37507753084,3.0848e+13,75.86538
"216",1995,"Colombia",5.48,79,6.83,2.85,5.32,6.89,5.52,2470.68362290375,3.0848e+13,75.86538
"217",1995,"Congo, Dem. R.",3.41,120,5.63,0.99,0,6.32,4.11,755.916834291727,3.0848e+13,75.86538
"218",1995,"Denmark",7.73,14,3.07,9.09,9.77,9.13,7.57,35351.3807065346,3.0848e+13,75.86538
"219",1995,"Ecuador",6.31,55,8.22,4.24,6.47,6.75,5.87,2135.63281191362,3.0848e+13,75.86538
"220",1995,"Finland",7.52,19,2.69,9.28,9.55,9.18,6.9,26273.4659031066,3.0848e+13,75.86538
"221",1995,"France",6.97,36,3.22,7.49,9.83,8.3,6.03,26890.2198804535,3.0848e+13,75.86538
"222",1995,"Germany",7.62,17,4.36,9.13,9.76,9.14,5.7,31729.6997633451,3.0848e+13,75.86538
"223",1995,"Greece",6.4,52,5.23,6.69,7.34,7.86,4.87,12959.3243186619,3.0848e+13,75.86538
"224",1995,"Guatemala",7.15,30,9.12,4.41,8.08,8.45,5.69,1408.02420344366,3.0848e+13,75.86538
"225",1995,"Hong Kong",9.11,1,9.47,8.17,9.44,9.6,8.89,685.061874626141,3.0848e+13,75.86538
"226",1995,"Iceland",7.73,14,5.72,8.3,9.45,7.89,7.31,26239.0272985826,3.0848e+13,75.86538
"227",1995,"India",5.76,72,6.26,5.87,6.5,4.5,5.66,370.10135530585,3.0848e+13,75.86538
"228",1995,"Indonesia",6.3,56,7.96,2.76,9.09,5.88,5.79,1026.2704926429,3.0848e+13,75.86538
"229",1995,"Iran",4.04,114,5.35,4.81,3.87,2.43,3.73,NA,3.0848e+13,75.86538
"230",1995,"Ireland",8.25,5,5.76,9.09,9.6,8.93,7.89,19181.4009712886,3.0848e+13,75.86538
"231",1995,"Israel",5.91,66,3.1,6.85,7.43,6.89,5.27,18096.1622193914,3.0848e+13,75.86538
"232",1995,"Italy",6.62,45,3.75,6.47,9.58,8.42,4.87,20596.3885757596,3.0848e+13,75.86538
"233",1995,"Japan",7.4,20,4.95,8.13,9.72,7.37,6.83,43440.3678678967,3.0848e+13,75.86538
